"gender","party","age_2016"
"M","BLK",58
"F","REP",57
"F","DEM",54
"M","BLK",41
"M","DEM",61
"M","REP",44
"M","REP",41
"F","BLK",54
"F","BLK",70
"F","DEM",47
"F","DEM",43
"F","DEM",43
"M","DEM",67
"F","BLK",91
"M","DEM",56
"M","BLK",57
"M","DEM",61
"F","DEM",63
"F","DEM",40
"F","DEM",40
"M","DEM",49
"F","DEM",57
"F","DEM",53
"F","DEM",83
"M","DEM",45
"M","DEM",66
"M","BLK",59
"M","REP",66
"F","BLK",39
"F","DEM",44
"M","GRE",41
"M","DEM",63
"F","DEM",41
"M","BLK",39
"F","DEM",41
"F","DEM",69
"M","REP",49
"F","DEM",52
"F","DEM",47
"F","REP",38
"M","DEM",60
"M","REP",59
"F","BLK",43
"F","BLK",42
"F","REP",50
"M","DEM",39
"F","DEM",78
"F","DEM",58
"F","DEM",76
"M","BLK",38
"M","DEM",60
"M","DEM",70
"F","DEM",40
"F","REP",46
"F","DEM",53
"F","DEM",59
"F","DEM",39
"F","DEM",41
"M","DEM",54
"M","DEM",42
"F","DEM",50
"F","DEM",43
"M","DEM",54
"M","DEM",53
"M","BLK",54
"F","DEM",62
"F","DEM",74
"F","DEM",63
"M","DEM",58
"M","DEM",37
"M","DEM",58
"M","DEM",40
"M","DEM",48
"F","DEM",60
"F","DEM",51
"M","DEM",39
"F","DEM",68
"F","DEM",41
"F","WOR",40
"F","DEM",41
"M","IND",45
"F","REP",49
"F","DEM",81
"F","DEM",51
"F","DEM",55
"M","DEM",60
"F","DEM",36
"M","REP",61
"F","DEM",55
"F","DEM",44
"M","DEM",71
"M","BLK",66
"M","REP",46
"F","DEM",46
"F","BLK",45
"M","DEM",39
"F","REP",42
"F","DEM",59
"F","DEM",71
"M","REP",43
"F","DEM",41
"M","DEM",41
"M","BLK",69
"F","BLK",38
"F","BLK",53
"M","DEM",43
"F","REP",60
"M","DEM",54
"F","DEM",71
"F","IND",53
"F","BLK",48
"M","DEM",84
"M","BLK",36
"F","DEM",88
"F","REP",74
"M","DEM",50
"F","DEM",48
"F","DEM",37
"F","DEM",60
"F","DEM",55
"M","REP",45
"M","REP",57
"F","DEM",45
"M","BLK",44
"F","DEM",34
"M","REP",68
"M","DEM",68
"F","DEM",60
"M","DEM",49
"F","DEM",56
"M","DEM",58
"M","REP",36
"F","BLK",45
"M","DEM",62
"M","DEM",36
"F","DEM",71
"M","DEM",45
"F","DEM",77
"M","REP",40
"M","DEM",39
"M","DEM",52
"M","DEM",61
"F","DEM",54
"F","REP",46
"F","BLK",39
"F","DEM",37
"F","BLK",75
"F","IND",65
"F","DEM",34
"F","DEM",71
"M","DEM",58
"M","OTH",74
"M","DEM",36
"F","DEM",60
"M","BLK",40
"F","DEM",63
"M","REP",35
"F","DEM",77
"M","DEM",35
"M","BLK",58
"M","BLK",54
"M","DEM",58
"F","DEM",66
"M","BLK",43
"M","DEM",33
"F","BLK",33
"F","DEM",65
"M","DEM",35
"F","DEM",35
"F","DEM",80
"F","DEM",44
"F","DEM",50
"F","DEM",55
"F","BLK",39
"M","DEM",36
"M","BLK",37
"F","DEM",64
"M","DEM",43
"F","DEM",37
"F","DEM",34
"M","DEM",33
"F","REP",40
"M","DEM",33
"M","DEM",46
"M","DEM",51
"M","DEM",57
"M","IND",47
"F","DEM",35
"M","DEM",53
"M","DEM",68
"F","REP",68
"F","DEM",37
"F","DEM",33
"F","DEM",84
"M","DEM",34
"F","DEM",36
"M","DEM",45
"M","BLK",55
"M","DEM",33
"F","BLK",32
"M","REP",40
"M","IND",80
"F","DEM",31
"F","DEM",39
"F","BLK",39
"F","DEM",43
"F","DEM",34
"M","DEM",42
"F","BLK",60
"F","REP",69
"M","DEM",31
"F","BLK",31
"M","BLK",83
"F","DEM",31
"F","BLK",30
"M","DEM",35
"F","DEM",36
"M","DEM",31
"F","DEM",40
"F","DEM",36
"F","DEM",31
"M","WOR",30
"M","REP",51
"F","DEM",39
"F","BLK",30
"M","DEM",72
"F","DEM",58
"M","DEM",52
"M","BLK",30
"F","REP",53
"M","DEM",37
"F","DEM",29
"M","BLK",34
"M","BLK",29
"M","REP",38
"F","DEM",77
"F","DEM",30
"F","BLK",30
"M","DEM",33
"F","REP",51
"M","REP",61
"F","DEM",30
"F","IND",30
"F","DEM",53
"M","DEM",58
"M","DEM",36
"F","BLK",56
"F","BLK",35
"F","DEM",30
"F","BLK",45
"F","DEM",62
"M","REP",76
"F","REP",51
"F","BLK",66
"M","BLK",36
"M","DEM",41
"F","REP",38
"F","DEM",37
"M","DEM",34
"F","DEM",35
"M","DEM",33
"F","DEM",30
"F","DEM",58
"M","DEM",42
"M","DEM",57
"F","DEM",31
"F","REP",37
"M","REP",68
"F","DEM",67
"F","DEM",62
"M","REP",54
"F","BLK",33
"M","REP",49
"M","BLK",52
"F","DEM",29
"M","DEM",40
"M","DEM",29
"M","REP",29
"F","BLK",34
"M","DEM",51
"M","DEM",30
"F","DEM",28
"F","DEM",29
"M","GRE",53
"F","DEM",68
"F","CON",49
"F","DEM",57
"M","DEM",44
"M","DEM",28
"M","REP",32
"F","DEM",36
"F","DEM",32
"M","DEM",31
"F","DEM",29
"F","BLK",28
"M","DEM",28
"M","DEM",37
"M","DEM",33
"F","DEM",29
"F","DEM",48
"F","REP",27
"M","DEM",27
"M","REP",40
"F","BLK",29
"M","BLK",87
"M","DEM",27
"F","BLK",60
"F","DEM",32
"F","DEM",69
"F","DEM",30
"M","DEM",42
"F","DEM",27
"M","BLK",50
"F","BLK",32
"M","DEM",27
"M","BLK",27
"F","BLK",28
"F","DEM",29
"F","DEM",26
"F","DEM",27
"F","BLK",26
"F","BLK",61
"M","DEM",44
"M","BLK",28
"F","DEM",33
"F","DEM",85
"F","DEM",70
"M","DEM",64
"F","BLK",37
"M","DEM",31
"M","BLK",60
"F","BLK",32
"M","DEM",30
"F","REP",55
"F","DEM",39
"M","DEM",33
"F","DEM",27
"M","DEM",27
"F","REP",28
"F","DEM",27
"M","BLK",63
"M","DEM",53
"M","DEM",26
"F","DEM",63
"M","REP",33
"F","DEM",31
"M","DEM",31
"F","DEM",48
"F","DEM",47
"M","DEM",55
"F","DEM",68
"F","DEM",69
"F","DEM",83
"F","BLK",72
"F","REP",58
"M","DEM",59
"M","BLK",53
"F","DEM",54
"F","DEM",62
"F","DEM",52
"F","DEM",65
"M","REP",52
"F","DEM",75
"M","REP",61
"F","REP",63
"F","DEM",73
"M","DEM",70
"F","DEM",52
"M","DEM",52
"F","REP",62
"F","DEM",47
"M","REP",49
"F","DEM",64
"F","REP",83
"F","DEM",46
"M","BLK",91
"F","DEM",63
"F","DEM",58
"F","REP",59
"F","DEM",67
"M","REP",61
"M","DEM",62
"M","DEM",68
"M","DEM",86
"M","DEM",77
"M","DEM",64
"M","BLK",47
"F","DEM",49
"F","DEM",57
"M","DEM",67
"M","REP",50
"M","DEM",72
"F","DEM",55
"F","REP",53
"F","DEM",45
"F","REP",62
"F","DEM",59
"F","DEM",71
"M","DEM",52
"M","REP",47
"F","REP",44
"M","DEM",44
"F","DEM",45
"M","BLK",42
"M","REP",43
"M","BLK",63
"M","DEM",53
"M","DEM",44
"F","REP",42
"F","DEM",76
"M","BLK",58
"F","DEM",46
"M","BLK",42
"M","REP",72
"M","DEM",63
"F","REP",55
"M","DEM",54
"M","REP",65
"F","DEM",81
"F","DEM",57
"F","DEM",56
"F","BLK",60
"M","BLK",62
"F","REP",50
"F","DEM",61
"M","DEM",65
"F","DEM",58
"M","BLK",41
"M","DEM",52
"M","DEM",42
"M","OTH",70
"F","BLK",53
"M","BLK",44
"F","BLK",42
"M","DEM",66
"M","IND",61
"F","IND",57
"M","REP",50
"F","DEM",46
"M","DEM",43
"M","DEM",42
"F","DEM",51
"F","BLK",39
"F","DEM",60
"M","DEM",52
"F","REP",50
"M","DEM",43
"M","DEM",42
"F","DEM",61
"M","REP",40
"M","REP",74
"F","REP",39
"M","DEM",51
"M","REP",40
"F","BLK",39
"F","DEM",43
"F","DEM",66
"F","DEM",41
"F","DEM",85
"F","REP",55
"M","BLK",79
"M","REP",49
"M","DEM",52
"F","DEM",79
"M","BLK",38
"F","DEM",66
"F","DEM",42
"M","IND",44
"F","DEM",68
"F","DEM",64
"F","BLK",58
"M","CON",50
"F","DEM",62
"F","REP",43
"F","DEM",68
"F","DEM",56
"F","DEM",68
"M","DEM",42
"F","REP",62
"M","REP",51
"F","DEM",65
"M","IND",38
"M","DEM",61
"M","DEM",44
"M","IND",91
"F","DEM",38
"F","DEM",54
"M","DEM",58
"F","BLK",72
"M","BLK",47
"F","REP",42
"M","DEM",37
"M","DEM",49
"F","DEM",39
"F","DEM",50
"M","DEM",83
"M","DEM",41
"F","DEM",83
"F","DEM",64
"F","REP",77
"M","DEM",58
"F","REP",37
"M","DEM",74
"F","DEM",44
"M","DEM",51
"F","DEM",53
"F","DEM",59
"M","DEM",40
"M","BLK",37
"F","BLK",52
"M","DEM",65
"M","BLK",73
"M","DEM",64
"F","DEM",58
"F","DEM",52
"F","BLK",57
"F","DEM",48
"M","BLK",65
"M","REP",54
"M","DEM",37
"F","DEM",36
"M","IND",78
"M","DEM",67
"F","REP",37
"M","REP",44
"F","DEM",38
"F","DEM",53
"F","DEM",73
"F","DEM",44
"F","BLK",44
"M","DEM",42
"M","REP",57
"M","DEM",70
"M","BLK",51
"F","DEM",65
"F","DEM",51
"M","REP",36
"F","DEM",53
"F","DEM",63
"F","DEM",46
"F","DEM",39
"M","DEM",47
"M","DEM",56
"F","BLK",38
"M","DEM",68
"M","DEM",40
"M","DEM",60
"F","DEM",72
"F","DEM",49
"F","DEM",37
"F","DEM",65
"M","DEM",39
"F","DEM",54
"M","REP",36
"F","DEM",82
"F","DEM",63
"M","BLK",63
"F","DEM",75
"F","DEM",37
"F","BLK",88
"M","DEM",35
"M","REP",50
"F","REP",54
"F","DEM",44
"F","DEM",54
"F","REP",53
"F","DEM",44
"F","DEM",36
"F","DEM",50
"F","DEM",64
"F","BLK",65
"F","DEM",68
"M","REP",42
"M","DEM",34
"M","DEM",36
"F","DEM",37
"M","REP",66
"F","DEM",50
"F","BLK",53
"M","DEM",37
"M","REP",37
"M","DEM",72
"M","REP",33
"F","REP",52
"M","DEM",35
"F","DEM",33
"M","DEM",33
"F","DEM",37
"F","BLK",60
"M","REP",46
"M","BLK",49
"F","DEM",48
"M","BLK",33
"M","DEM",35
"M","DEM",61
"F","BLK",33
"F","BLK",60
"M","DEM",34
"F","DEM",36
"F","DEM",69
"M","REP",34
"F","DEM",48
"M","DEM",44
"F","IND",39
"F","REP",35
"M","BLK",41
"F","DEM",33
"F","DEM",51
"F","BLK",45
"M","DEM",35
"M","BLK",37
"M","BLK",38
"M","DEM",66
"F","BLK",51
"F","BLK",92
"M","IND",50
"F","IND",33
"M","IND",32
"M","DEM",55
"F","DEM",35
"F","DEM",32
"M","DEM",58
"M","IND",34
"F","BLK",33
"M","DEM",44
"F","DEM",37
"M","BLK",70
"M","BLK",38
"F","DEM",32
"M","DEM",32
"M","REP",35
"M","REP",32
"F","DEM",31
"F","REP",43
"M","BLK",42
"F","DEM",33
"F","BLK",56
"F","DEM",31
"F","DEM",55
"F","DEM",47
"F","DEM",43
"F","DEM",36
"M","DEM",77
"F","DEM",32
"F","BLK",53
"M","DEM",35
"M","DEM",30
"F","DEM",50
"F","DEM",37
"F","DEM",30
"F","DEM",33
"M","DEM",54
"F","REP",61
"F","REP",40
"F","REP",31
"M","REP",30
"M","DEM",41
"M","REP",75
"M","BLK",34
"M","BLK",30
"M","DEM",41
"F","DEM",62
"F","DEM",33
"M","BLK",30
"M","DEM",33
"M","DEM",58
"M","BLK",39
"F","DEM",30
"F","DEM",36
"F","DEM",41
"M","DEM",52
"F","DEM",54
"F","DEM",30
"F","DEM",42
"M","DEM",30
"F","DEM",35
"F","BLK",50
"M","DEM",57
"F","DEM",33
"M","DEM",46
"M","DEM",44
"M","DEM",60
"M","BLK",70
"F","BLK",69
"F","BLK",30
"M","BLK",69
"F","DEM",31
"F","DEM",47
"F","REP",55
"M","IND",36
"M","DEM",55
"M","DEM",42
"F","REP",59
"F","DEM",45
"M","DEM",46
"M","DEM",31
"F","DEM",39
"F","DEM",40
"F","DEM",63
"F","IND",38
"F","DEM",30
"F","DEM",33
"F","DEM",42
"F","DEM",30
"F","BLK",43
"M","BLK",35
"M","REP",29
"F","DEM",39
"M","DEM",45
"F","DEM",32
"F","DEM",51
"F","DEM",36
"M","DEM",48
"M","DEM",45
"M","DEM",32
"F","BLK",47
"F","DEM",45
"F","DEM",33
"F","DEM",43
"F","REP",41
"M","REP",29
"F","DEM",79
"M","BLK",30
"M","BLK",69
"M","REP",36
"F","DEM",30
"M","DEM",37
"F","DEM",49
"F","BLK",33
"M","DEM",30
"M","REP",63
"M","BLK",29
"M","DEM",28
"M","BLK",41
"M","DEM",29
"M","IND",40
"F","REP",28
"F","BLK",33
"F","CON",40
"F","DEM",35
"M","DEM",57
"M","DEM",33
"M","DEM",42
"F","DEM",45
"M","DEM",28
"M","BLK",28
"M","BLK",40
"M","DEM",29
"M","DEM",40
"F","BLK",28
"F","DEM",28
"M","DEM",28
"F","DEM",53
"F","DEM",74
"F","DEM",30
"F","BLK",28
"M","DEM",36
"M","DEM",28
"M","DEM",36
"F","DEM",28
"F","BLK",33
"M","DEM",27
"M","REP",61
"F","DEM",39
"F","DEM",27
"F","BLK",30
"F","DEM",27
"F","DEM",56
"F","DEM",60
"F","DEM",71
"F","DEM",34
"F","DEM",26
"M","DEM",26
"M","DEM",34
"F","DEM",26
"F","REP",31
"F","DEM",57
"M","DEM",27
"F","BLK",34
"F","DEM",32
"F","DEM",29
"M","DEM",26
"M","DEM",40
"F","IND",45
"M","DEM",40
"F","BLK",27
"M","REP",26
"M","BLK",31
"F","DEM",28
"M","DEM",49
"F","BLK",27
"M","BLK",27
"F","DEM",31
"M","DEM",35
"M","REP",27
"F","WOR",49
"M","DEM",26
"F","DEM",26
"F","DEM",73
"F","IND",54
"F","DEM",30
"M","DEM",43
"M","BLK",37
"F","DEM",26
"M","DEM",26
"F","BLK",47
"F","DEM",51
"F","BLK",30
"F","BLK",33
"F","BLK",35
"F","DEM",76
"F","DEM",60
"F","BLK",60
"M","DEM",76
"M","DEM",87
"M","DEM",56
"M","BLK",62
"M","DEM",86
"M","DEM",61
"M","DEM",69
"F","REP",68
"M","BLK",65
"F","DEM",49
"M","DEM",82
"M","IND",76
"M","BLK",72
"F","BLK",66
"F","REP",76
"M","DEM",68
"M","DEM",49
"F","DEM",69
"F","BLK",50
"M","REP",75
"F","IND",48
"M","DEM",58
"F","DEM",61
"F","DEM",54
"M","BLK",50
"M","REP",75
"F","BLK",56
"M","REP",74
"M","DEM",61
"M","IND",46
"F","IND",78
"F","REP",27
"M","DEM",88
"F","BLK",64
"M","DEM",81
"F","DEM",48
"F","DEM",28
"F","DEM",64
"M","BLK",62
"M","DEM",92
"M","DEM",71
"M","DEM",67
"M","BLK",52
"M","DEM",64
"F","REP",69
"M","DEM",52
"M","DEM",59
"M","BLK",46
"F","WEP",62
"M","REP",48
"F","DEM",52
"F","DEM",66
"F","DEM",46
"F","DEM",68
"F","DEM",84
"F","DEM",66
"F","REP",82
"F","DEM",44
"F","DEM",65
"F","DEM",102
"F","DEM",47
"M","BLK",45
"F","DEM",74
"F","DEM",44
"F","DEM",52
"F","DEM",44
"F","DEM",50
"M","DEM",44
"F","DEM",72
"M","REP",48
"M","BLK",62
"M","DEM",47
"M","DEM",58
"M","DEM",45
"F","REP",61
"F","DEM",42
"M","DEM",63
"M","BLK",41
"F","BLK",67
"M","DEM",70
"M","REP",62
"M","BLK",57
"F","REP",54
"F","BLK",41
"M","BLK",41
"M","DEM",64
"M","REP",44
"F","DEM",56
"M","DEM",76
"F","BLK",63
"M","BLK",52
"F","REP",63
"M","DEM",53
"F","DEM",51
"F","DEM",67
"M","DEM",52
"F","DEM",59
"F","REP",65
"F","DEM",42
"F","DEM",64
"M","REP",62
"F","BLK",58
"F","REP",56
"M","REP",53
"M","BLK",39
"F","DEM",50
"F","DEM",56
"F","BLK",40
"F","DEM",53
"F","BLK",73
"M","REP",49
"F","DEM",47
"F","DEM",66
"F","DEM",55
"F","REP",47
"F","DEM",56
"M","DEM",73
"M","DEM",47
"F","BLK",70
"F","DEM",72
"M","DEM",41
"M","REP",59
"M","DEM",68
"M","DEM",41
"M","DEM",50
"F","DEM",44
"M","REP",41
"F","DEM",39
"M","BLK",58
"F","DEM",40
"F","DEM",84
"F","REP",38
"M","DEM",40
"M","DEM",53
"F","DEM",42
"F","BLK",48
"F","DEM",55
"M","DEM",55
"F","DEM",68
"F","IND",74
"F","DEM",39
"F","REP",53
"M","DEM",47
"F","IND",58
"M","REP",75
"F","DEM",61
"F","DEM",60
"M","DEM",68
"M","DEM",60
"M","DEM",44
"M","IND",38
"F","BLK",73
"M","REP",40
"F","DEM",63
"F","DEM",60
"M","REP",65
"F","IND",45
"F","DEM",62
"F","DEM",37
"F","DEM",61
"M","DEM",37
"F","DEM",55
"M","BLK",57
"F","DEM",66
"M","BLK",67
"F","DEM",81
"F","REP",43
"M","REP",79
"F","DEM",36
"F","BLK",48
"M","DEM",72
"M","DEM",39
"F","DEM",67
"M","DEM",54
"F","DEM",60
"M","DEM",57
"F","DEM",37
"F","DEM",71
"F","REP",42
"M","DEM",35
"F","DEM",43
"M","DEM",57
"M","DEM",50
"M","DEM",63
"F","DEM",41
"M","DEM",62
"M","DEM",58
"F","DEM",42
"M","BLK",38
"M","DEM",45
"M","DEM",59
"F","DEM",47
"M","DEM",39
"M","DEM",39
"F","DEM",46
"F","DEM",34
"F","DEM",37
"F","REP",63
"M","BLK",35
"F","DEM",56
"M","IND",34
"F","DEM",39
"F","DEM",75
"F","DEM",58
"F","DEM",34
"F","DEM",81
"F","DEM",38
"F","DEM",47
"F","DEM",43
"M","BLK",60
"F","BLK",89
"M","DEM",57
"F","DEM",52
"F","DEM",58
"M","DEM",40
"F","DEM",53
"F","DEM",48
"M","DEM",58
"F","IND",34
"F","DEM",51
"F","REP",60
"F","BLK",36
"F","DEM",35
"F","DEM",54
"M","DEM",68
"F","DEM",53
"F","DEM",71
"F","DEM",49
"F","REP",72
"F","BLK",46
"F","DEM",51
"M","DEM",41
"F","REP",38
"F","DEM",43
"M","REP",58
"F","DEM",70
"M","DEM",53
"M","DEM",33
"F","DEM",33
"M","BLK",60
"F","BLK",39
"M","DEM",57
"M","REP",38
"M","DEM",44
"F","DEM",39
"F","DEM",35
"M","DEM",49
"F","DEM",44
"M","IND",61
"F","BLK",35
"M","IND",53
"M","REP",54
"M","DEM",40
"F","DEM",53
"F","REP",87
"F","DEM",32
"F","DEM",65
"M","DEM",66
"M","BLK",32
"F","DEM",43
"F","IND",47
"M","DEM",67
"M","REP",49
"F","BLK",47
"F","DEM",40
"M","DEM",60
"M","DEM",53
"M","DEM",32
"M","DEM",37
"M","DEM",31
"F","DEM",32
"F","BLK",41
"M","BLK",31
"M","DEM",38
"F","BLK",36
"M","DEM",31
"F","DEM",31
"M","DEM",32
"F","DEM",29
"F","DEM",63
"F","DEM",64
"F","DEM",38
"M","BLK",51
"M","BLK",36
"F","BLK",31
"F","BLK",90
"F","DEM",31
"F","DEM",47
"F","DEM",65
"F","DEM",30
"F","DEM",70
"M","BLK",75
"M","REP",46
"M","DEM",34
"M","DEM",32
"F","REP",61
"F","DEM",39
"F","DEM",33
"F","BLK",40
"F","BLK",36
"M","BLK",77
"F","DEM",50
"M","DEM",43
"M","DEM",36
"M","BLK",47
"F","DEM",32
"M","DEM",64
"M","DEM",44
"M","DEM",37
"F","DEM",58
"M","REP",66
"F","REP",48
"M","REP",30
"M","BLK",31
"F","DEM",64
"M","BLK",30
"M","DEM",30
"M","DEM",57
"F","DEM",66
"F","DEM",40
"F","BLK",36
"F","DEM",39
"M","DEM",62
"M","BLK",39
"M","DEM",31
"F","DEM",77
"M","DEM",80
"F","BLK",39
"M","DEM",36
"M","DEM",46
"F","REP",60
"M","DEM",58
"F","DEM",47
"F","DEM",65
"M","DEM",38
"M","REP",40
"M","DEM",35
"M","DEM",50
"M","DEM",48
"F","DEM",39
"M","DEM",37
"F","DEM",44
"M","REP",65
"F","DEM",71
"M","REP",34
"F","DEM",32
"F","DEM",31
"F","DEM",29
"M","DEM",52
"F","DEM",45
"F","REP",78
"M","DEM",58
"M","DEM",35
"F","BLK",41
"F","DEM",68
"F","BLK",48
"F","DEM",37
"F","CON",46
"F","DEM",30
"F","BLK",54
"M","DEM",29
"M","REP",41
"M","DEM",29
"F","BLK",29
"F","DEM",34
"M","DEM",28
"F","BLK",38
"F","DEM",28
"F","BLK",57
"F","BLK",35
"F","BLK",84
"M","DEM",43
"F","BLK",36
"F","DEM",63
"M","DEM",35
"F","BLK",38
"M","DEM",33
"F","DEM",72
"M","DEM",68
"F","DEM",28
"M","DEM",34
"M","DEM",37
"M","DEM",34
"F","DEM",50
"M","DEM",37
"F","DEM",70
"M","DEM",61
"F","BLK",29
"M","REP",57
"M","DEM",50
"F","DEM",54
"M","BLK",34
"F","IND",26
"M","BLK",30
"F","DEM",27
"F","DEM",52
"F","DEM",30
"F","WOR",48
"F","REP",32
"F","REP",90
"F","BLK",72
"M","DEM",30
"F","CON",26
"F","DEM",35
"F","BLK",41
"F","BLK",34
"M","DEM",27
"M","DEM",65
"F","BLK",27
"M","DEM",54
"M","DEM",32
"M","IND",27
"M","IND",31
"M","DEM",56
"F","DEM",68
"F","DEM",27
"M","DEM",34
"F","DEM",59
"F","DEM",44
"M","DEM",58
"M","DEM",33
"F","DEM",28
"M","BLK",39
"M","BLK",72
"M","DEM",34
"M","BLK",73
"M","IND",35
"F","DEM",36
"F","BLK",34
"M","DEM",28
"M","DEM",29
"M","DEM",50
"F","DEM",37
"F","REP",29
"M","DEM",26
"F","REP",27
"F","DEM",72
"M","BLK",31
"F","DEM",47
"F","DEM",59
"F","DEM",86
"M","DEM",62
"F","BLK",68
"F","DEM",84
"M","DEM",72
"F","DEM",57
"F","BLK",50
"F","DEM",63
"M","DEM",56
"F","DEM",64
"M","DEM",67
"M","BLK",73
"F","DEM",58
"F","DEM",71
"M","DEM",70
"F","DEM",52
"F","DEM",86
"F","DEM",84
"F","REP",83
"F","DEM",54
"M","REP",49
"M","DEM",53
"F","DEM",50
"F","DEM",46
"M","REP",70
"F","REP",78
"M","REP",81
"F","DEM",76
"F","BLK",62
"F","DEM",51
"F","DEM",97
"M","DEM",58
"M","DEM",59
"F","DEM",47
"F","DEM",70
"M","DEM",52
"F","REP",59
"F","BLK",49
"M","REP",46
"F","DEM",46
"F","DEM",52
"F","DEM",66
"F","BLK",73
"F","DEM",45
"M","DEM",66
"M","BLK",47
"M","DEM",75
"F","DEM",52
"F","DEM",43
"M","REP",42
"M","BLK",61
"F","DEM",89
"F","BLK",56
"F","DEM",58
"F","BLK",51
"F","BLK",47
"M","DEM",42
"M","BLK",57
"F","REP",60
"F","DEM",41
"M","REP",71
"M","BLK",44
"M","BLK",43
"F","DEM",67
"M","DEM",71
"F","DEM",64
"F","DEM",55
"F","REP",69
"M","DEM",41
"F","REP",45
"F","DEM",58
"M","DEM",41
"M","BLK",52
"M","DEM",66
"F","DEM",57
"M","BLK",42
"M","DEM",57
"F","REP",63
"M","DEM",49
"M","DEM",56
"F","BLK",40
"M","BLK",41
"F","DEM",55
"M","DEM",76
"F","REP",67
"F","REP",62
"M","DEM",41
"M","DEM",55
"F","BLK",56
"F","BLK",40
"F","DEM",44
"M","REP",63
"F","DEM",51
"F","DEM",75
"M","DEM",67
"F","DEM",50
"M","DEM",54
"F","DEM",75
"F","DEM",55
"F","DEM",47
"F","DEM",61
"F","BLK",58
"F","DEM",70
"M","DEM",56
"F","REP",44
"F","DEM",48
"F","DEM",50
"F","REP",51
"M","DEM",38
"F","DEM",66
"M","REP",66
"F","BLK",53
"F","BLK",40
"M","REP",49
"M","REP",41
"F","BLK",68
"F","DEM",40
"F","DEM",48
"F","DEM",68
"M","WOR",47
"F","DEM",60
"M","REP",62
"M","DEM",48
"M","DEM",39
"M","DEM",69
"M","DEM",65
"M","DEM",50
"M","IND",59
"F","DEM",40
"F","BLK",39
"M","DEM",43
"M","DEM",76
"F","DEM",36
"M","DEM",45
"M","DEM",88
"M","DEM",49
"F","DEM",49
"F","DEM",61
"F","DEM",58
"M","REP",59
"M","DEM",55
"M","BLK",48
"M","DEM",57
"F","DEM",47
"M","DEM",58
"F","DEM",52
"M","DEM",73
"F","DEM",37
"M","IND",39
"F","DEM",38
"F","DEM",53
"M","REP",74
"F","DEM",45
"M","BLK",55
"F","DEM",83
"M","REP",71
"F","DEM",43
"F","DEM",59
"M","DEM",68
"F","DEM",69
"M","REP",38
"F","DEM",45
"M","DEM",51
"F","DEM",72
"F","DEM",57
"F","BLK",39
"M","BLK",69
"F","DEM",38
"F","BLK",50
"M","DEM",39
"M","DEM",56
"M","DEM",66
"M","DEM",56
"M","CON",53
"M","DEM",44
"M","DEM",38
"F","DEM",43
"F","BLK",74
"M","DEM",40
"F","REP",49
"M","IND",47
"M","DEM",41
"F","BLK",65
"M","REP",55
"F","DEM",62
"F","DEM",36
"M","REP",46
"F","REP",45
"F","DEM",68
"F","DEM",54
"F","DEM",35
"F","DEM",35
"F","DEM",52
"F","DEM",43
"M","REP",49
"M","DEM",83
"F","DEM",51
"F","DEM",53
"F","BLK",62
"F","REP",34
"F","DEM",40
"M","DEM",65
"M","DEM",72
"F","DEM",59
"M","BLK",69
"F","DEM",57
"F","DEM",62
"F","REP",39
"F","DEM",39
"F","DEM",37
"F","DEM",34
"F","DEM",56
"F","DEM",53
"F","DEM",89
"F","DEM",58
"F","REP",55
"M","REP",86
"F","BLK",35
"F","DEM",50
"F","DEM",36
"M","DEM",37
"F","DEM",35
"M","BLK",46
"M","REP",34
"F","BLK",47
"F","DEM",36
"M","DEM",51
"M","DEM",34
"M","DEM",53
"F","DEM",65
"F","DEM",64
"F","DEM",56
"F","BLK",65
"F","DEM",46
"F","DEM",43
"M","DEM",52
"M","REP",80
"F","DEM",55
"M","DEM",53
"M","DEM",42
"M","REP",63
"F","DEM",55
"M","DEM",58
"M","REP",39
"F","REP",58
"F","DEM",35
"M","REP",37
"M","DEM",37
"M","DEM",59
"F","DEM",60
"F","BLK",62
"M","REP",37
"F","REP",36
"F","DEM",67
"F","REP",63
"F","DEM",62
"F","DEM",41
"M","BLK",36
"F","DEM",44
"F","BLK",34
"F","BLK",65
"F","DEM",36
"F","DEM",49
"M","REP",41
"M","DEM",39
"F","DEM",40
"M","DEM",32
"M","REP",33
"F","DEM",32
"F","IND",32
"F","DEM",32
"M","BLK",43
"M","REP",39
"F","IND",67
"M","REP",33
"F","BLK",32
"M","DEM",31
"M","DEM",30
"F","DEM",34
"M","DEM",78
"F","DEM",32
"M","DEM",40
"F","DEM",65
"M","DEM",44
"M","BLK",65
"M","REP",40
"M","REP",33
"M","REP",55
"M","DEM",33
"F","DEM",32
"F","REP",31
"M","BLK",60
"M","DEM",30
"M","DEM",39
"F","DEM",53
"F","BLK",32
"M","BLK",56
"F","DEM",31
"M","DEM",39
"M","DEM",33
"F","BLK",36
"M","DEM",51
"M","DEM",30
"F","DEM",41
"M","REP",32
"M","DEM",55
"M","DEM",48
"F","DEM",31
"F","DEM",30
"M","DEM",31
"F","DEM",34
"F","BLK",30
"F","DEM",36
"M","DEM",40
"M","BLK",57
"F","DEM",42
"F","DEM",29
"F","BLK",81
"F","DEM",31
"M","DEM",48
"M","DEM",62
"M","DEM",33
"M","DEM",57
"F","DEM",37
"F","DEM",35
"F","DEM",29
"M","BLK",37
"F","DEM",62
"M","BLK",50
"F","DEM",50
"M","DEM",29
